name,category,source_group,source,notes
apple jam,Savory,Villagers,All villagers,
apple jelly,Sweet,Villagers,All villagers,
apple pie,Sweet,Villagers,All villagers,
apple smoothie,Sweet,Villagers,All villagers,
apple tart,Sweet,Villagers,All villagers,
baked potatoes,Savory,Villagers,All villagers,
blue rose crown,Equipment,Villagers,All villagers,
blue rose wreath,Wall-mounted,Villagers,All villagers,
bread,Savory,Villagers,All villagers,
bread gratin,Savory,Villagers,All villagers,
brown-sugar pound cake,Sweet,Villagers,All villagers,
cake salé,Sweet,Villagers,All villagers,
carpaccio di capesante,Savory,Villagers,All villagers,
carrot bagel sandwich,Savory,Villagers,All villagers,
carrot juice,Sweet,Villagers,All villagers,
carrot scones,Sweet,Villagers,All villagers,
carrot-tops curry,Savory,Villagers,All villagers,
champiñones al ajillo,Savory,Villagers,All villagers,
cherry jam,Savory,Villagers,All villagers,
cherry jelly,Sweet,Villagers,All villagers,
cherry pie,Sweet,Villagers,All villagers,
cherry smoothie,Sweet,Villagers,All villagers,
cherry tart,Sweet,Villagers,All villagers,
chic cosmos wreath,Wall-mounted,Villagers,All villagers,
chic mum crown,Equipment,Villagers,All villagers,
chic rose crown,Equipment,Villagers,All villagers,
chic tulip crown,Equipment,Villagers,All villagers,
chic windflower wreath,Wall-mounted,Villagers,All villagers,
coconut cookies,Sweet,Villagers,All villagers,
coconut milk,Sweet,Villagers,All villagers,
coconut oil,Savory,Villagers,All villagers,
coconut pancakes,Sweet,Villagers,All villagers,
coconut pudding,Sweet,Villagers,All villagers,
cookies,Sweet,Villagers,All villagers,
cool hyacinth crown,Equipment,Villagers,All villagers,
cool hyacinth wreath,Wall-mounted,Villagers,All villagers,
cool pansy crown,Equipment,Villagers,All villagers,
cool pansy wreath,Wall-mounted,Villagers,All villagers,
cool windflower crown,Equipment,Villagers,All villagers,
cool windflower wreath,Wall-mounted,Villagers,All villagers,
cosmos crown,Equipment,Villagers,All villagers,
cosmos wreath,Wall-mounted,Villagers,All villagers,
cute lily crown,Equipment,Villagers,All villagers,
cute rose crown,Equipment,Villagers,All villagers,
dark cosmos crown,Equipment,Villagers,All villagers,
dark lily crown,Equipment,Villagers,All villagers,
dark lily wreath,Wall-mounted,Villagers,All villagers,
dark rose wreath,Wall-mounted,Villagers,All villagers,
dark tulip crown,Equipment,Villagers,All villagers,
dark tulip wreath,Wall-mounted,Villagers,All villagers,
fancy lily wreath,Wall-mounted,Villagers,All villagers,
fancy mum wreath,Wall-mounted,Villagers,All villagers,
fancy rose wreath,Wall-mounted,Villagers,All villagers,
fish and chips,Savory,Villagers,All villagers,
french fries,Savory,Villagers,All villagers,
frosted cookies,Sweet,Villagers,All villagers,
frosted pretzels,Sweet,Villagers,All villagers,
fruit cupcakes,Sweet,Villagers,All villagers,
fruit pizza,Savory,Villagers,All villagers,
fruit salad,Savory,Villagers,All villagers,
fruit scones,Sweet,Villagers,All villagers,
fruit-topped pancakes,Sweet,Villagers,All villagers,
gnocchi di carote,Savory,Villagers,All villagers,
gnocchi di zucca,Savory,Villagers,All villagers,
gold rose crown,Equipment,Villagers,All villagers,
gold rose wreath,Wall-mounted,Villagers,All villagers,
golden ladder set-up kit,Tools,Villagers,All villagers,
hyacinth crown,Equipment,Villagers,All villagers,
hyacinth wreath,Wall-mounted,Villagers,All villagers,
iron ladder set-up kit,Tools,Villagers,All villagers,
jarred mushrooms,Savory,Villagers,All villagers,
lily crown,Equipment,Villagers,All villagers,
lily wreath,Wall-mounted,Villagers,All villagers,
lovely cosmos crown,Equipment,Villagers,All villagers,
medicine,Other,Villagers,All villagers,
minestrone soup,Savory,Villagers,All villagers,
mixed-fruits bagel sandwich,Savory,Villagers,All villagers,
mixed-fruits crepe,Sweet,Villagers,All villagers,
mixed-fruits pie,Sweet,Villagers,All villagers,
mixed-fruits sandwich,Savory,Villagers,All villagers,
mixed-fruits tart,Sweet,Villagers,All villagers,
mum crown,Equipment,Villagers,All villagers,
mum wreath,Wall-mounted,Villagers,All villagers,
mushroom crepe,Savory,Villagers,All villagers,
mushroom curry,Savory,Villagers,All villagers,
mushroom pizza,Savory,Villagers,All villagers,
mushroom potage,Savory,Villagers,All villagers,
mushroom salad,Savory,Villagers,All villagers,
natural mum wreath,Wall-mounted,Villagers,All villagers,
orange jelly,Sweet,Villagers,All villagers,
orange marmalade,Savory,Villagers,All villagers,
orange pie,Sweet,Villagers,All villagers,
orange pound cake,Sweet,Villagers,All villagers,
orange smoothie,Sweet,Villagers,All villagers,
orange tart,Sweet,Villagers,All villagers,
pansy crown,Equipment,Villagers,All villagers,
pansy wreath,Wall-mounted,Villagers,All villagers,
peach jam,Savory,Villagers,All villagers,
peach jelly,Sweet,Villagers,All villagers,
peach pie,Sweet,Villagers,All villagers,
peach smoothie,Sweet,Villagers,All villagers,
peach tart,Sweet,Villagers,All villagers,
pear jam,Savory,Villagers,All villagers,
pear jelly,Sweet,Villagers,All villagers,
pear pie,Sweet,Villagers,All villagers,
pear smoothie,Sweet,Villagers,All villagers,
pear tart,Sweet,Villagers,All villagers,
pickled veggies,Savory,Villagers,All villagers,
pizza margherita,Savory,Villagers,All villagers,
plain cupcakes,Sweet,Villagers,All villagers,
plain scones,Sweet,Villagers,All villagers,
potato curry,Savory,Villagers,All villagers,
potato galette,Savory,Villagers,All villagers,
potato potage,Savory,Villagers,All villagers,
pound cake,Sweet,Villagers,All villagers,
pretty cosmos wreath,Wall-mounted,Villagers,All villagers,
